path_prefix,signal_type,signal_role,influx_path,tag_name_resolved,tag_description_resolved,level2_name,level3_name,functional_role,semantic_var,Opis (Znaczenie fizyczne),alarm_konfig_status,score_l2,score_l3
devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/qualityIndicator,V,Value,devices/23c5c821-2349-470f-8050-e9c028495916/mtp/objects/Sensor2/qualityIndicator/V/Actual,qualityIndicator,Quality Indicator,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe,VFbk,PV,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe/VFbk/Actual,VAHEnFirstProbe,First probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe,VMan,Manual,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe/VMan/Actual,VAHEnFirstProbe,First probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe,VOut,SP,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnFirstProbe/VOut/Actual,VAHEnFirstProbe,First probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe,VFbk,PV,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe/VFbk/Actual,VAHEnSecondProbe,Second probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe,VMan,Manual,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe/VMan/Actual,VAHEnSecondProbe,Second probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe,VOut,SP,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnSecondProbe/VOut/Actual,VAHEnSecondProbe,Second probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe,VFbk,PV,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe/VFbk/Actual,VAHEnThirdProbe,Third probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe,VMan,Manual,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe/VMan/Actual,VAHEnThirdProbe,Third probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe,VOut,SP,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VAHEnThirdProbe/VOut/Actual,VAHEnThirdProbe,Third probe alarm high,,,,,,TAK,0.0,0.0
devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe,VFbk,PV,devices/2757a0c4-af81-4273-87fb-2b0d87c5da34/mtp/objects/Sensor1/VALEnFirstProbe/VFbk/Actual,VALEnFirstProbe,First probe alarm low,,,,,,TAK,0.0,0.0
