influx_path,level2_name,level3_name
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/flow/VOut/Actual,Output/Pompa_01/i_Speed_SP,peristalticpump/out_peristalticpump_speed_rpm
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VMan/Setpoint,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/interlockSwitch/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/moduleIdentificationTrigger/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/moduleIdentificationTrigger/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/moduleIdentificationTrigger/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/protectReset/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/protectReset/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/protectReset/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/rpmHighEn/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/rpmHighEn/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/rpmHighEn/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/rpmLowEn/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/rpmLowEn/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/rpmLowEn/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/safePosSwitch/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/safePosSwitch/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/safePosSwitch/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/temperature/V/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/totaliser/V/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/totaliserReset/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/totaliserReset/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/totaliserReset/VOut/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/tubeDescription/VFbk/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/tubeDescription/VMan/Actual,,
devices/616ad07e-52e7-4293-aba1-2848073e1c33/mtp/objects/Pump/tubeDescription/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/coefficient/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/coefficient/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/coefficient/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/current/V/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/flow/VFbk/Actual,Output/Pompa_02/o_Flow_Fbk,peristalticpump/out_peristalticpump_speed_rpm
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/flow/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/flow/VOut/Actual,Output/Pompa_02/i_Speed_SP,peristalticpump/out_peristalticpump_speed_rpm
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/interlockSwitch/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/interlockSwitch/VMan/Setpoint,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/interlockSwitch/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/moduleIdentificationTrigger/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/moduleIdentificationTrigger/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/moduleIdentificationTrigger/VOut/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/protectReset/VFbk/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/protectReset/VMan/Actual,,
devices/ae8f16e0-b975-43df-9fd7-cba7530be7c9/mtp/objects/Pump/protectReset/VOut/Actual,,
